ST_NAME,AC_NAME,AC_TYPE,REGION,PC_NAME,CCODE,LY_WINNER
GOA,MANDREM,GENERAL,NORTH,NORTH GOA,5001,BJP
GOA,PERNEM,SC,NORTH,NORTH GOA,5002,BJP
GOA,BICHOLIM,GENERAL,NORTH,NORTH GOA,5003,IND
GOA,TIVIM,GENERAL,NORTH,NORTH GOA,5004,BJP
GOA,MAPUSA,GENERAL,NORTH,NORTH GOA,5005,BJP
GOA,SIOLIM,GENERAL,NORTH,NORTH GOA,5006,BJP
GOA,SALIGAO,GENERAL,NORTH,NORTH GOA,5007,BJP
GOA,CALANGUTE,GENERAL,NORTH,NORTH GOA,5008,BJP
GOA,PORVORIM,GENERAL,NORTH,NORTH GOA,5009,IND
GOA,ALDONA,GENERAL,NORTH,NORTH GOA,5010,BJP
GOA,PANAJI,GENERAL,NORTH,NORTH GOA,5011,BJP
GOA,TALEIGAO,GENERAL,NORTH,NORTH GOA,5012,INC
GOA,SANTA CRUZ,GENERAL,NORTH,NORTH GOA,5013,INC
GOA,SANTA ANDRE,GENERAL,NORTH,NORTH GOA,5014,BJP
GOA,CUMBARJUA,GENERAL,NORTH,NORTH GOA,5015,INC
GOA,MAEM,GENERAL,NORTH,NORTH GOA,5016,BJP
GOA,SANQUELIM,GENERAL,NORTH,NORTH GOA,5017,BJP
GOA,PORIEM,GENERAL,NORTH,NORTH GOA,5018,INC
GOA,VALPOI,GENERAL,NORTH,NORTH GOA,5019,INC
GOA,PRIOL,GENERAL,NORTH,NORTH GOA,5020,MGP
GOA,PONDA,GENERAL,SOUTH,SOUTH GOA,5021,MGP
GOA,SIRODA,GENERAL,SOUTH,SOUTH GOA,5022,BJP
GOA,MARCAIM,GENERAL,SOUTH,SOUTH GOA,5023,MGP
GOA,MORMUGAO,GENERAL,SOUTH,SOUTH GOA,5024,BJP
GOA,VASCO DA GAMA,GENERAL,SOUTH,SOUTH GOA,5025,BJP
GOA,DABOLIM,GENERAL,SOUTH,SOUTH GOA,5026,INC
GOA,CORTALIM,GENERAL,SOUTH,SOUTH GOA,5027,BJP
GOA,NUVEM,GENERAL,SOUTH,SOUTH GOA,5028,GVP
GOA,CURTORIM,GENERAL,SOUTH,SOUTH GOA,5029,INC
GOA,FATORDA,GENERAL,SOUTH,SOUTH GOA,5030,IND
GOA,MARGAO,GENERAL,SOUTH,SOUTH GOA,5031,INC
GOA,BENAULIM,GENERAL,SOUTH,SOUTH GOA,5032,GVP
GOA,NAVELIM,GENERAL,SOUTH,SOUTH GOA,5033,IND
GOA,CUNCOLIM,GENERAL,SOUTH,SOUTH GOA,5034,BJP
GOA,VELIM,GENERAL,SOUTH,SOUTH GOA,5035,IND
GOA,QUEPEM,GENERAL,SOUTH,SOUTH GOA,5036,INC
GOA,CURCHOREM,GENERAL,SOUTH,SOUTH GOA,5037,BJP
GOA,SANVORDEM,GENERAL,SOUTH,SOUTH GOA,5038,BJP
GOA,SANGUEM,GENERAL,SOUTH,SOUTH GOA,5039,BJP
GOA,CANACONA,GENERAL,SOUTH,SOUTH GOA,5040,BJP
