AC_NAME,AC_TYPE,REGION,PHASE,CCODE,LY_WINNER
KHUNDRAKPAM,GENERAL,VALLEY,1,14001,CONG
HEINGANG,GENERAL,VALLEY,1,14002,CONG
KHURAI,GENERAL,VALLEY,1,14003,CONG
KSHETRIGAO,GENERAL,VALLEY,1,14004,CONG
THONGJU,GENERAL,VALLEY,1,14005,AITC
KEIRAO,GENERAL,VALLEY,1,14006,MSCP
ANDRO,GENERAL,VALLEY,1,14007,AITC
LAMLAI,GENERAL,VALLEY,1,14008,CONG
THANGMEIBAND,GENERAL,VALLEY,1,14009,AITC
URIPOK,GENERAL,VALLEY,1,14010,CONG
SAGOLBAND,GENERAL,VALLEY,1,14011,MSCP
KEISHAMTHONG,GENERAL,VALLEY,1,14012,NCP
SINGJAMEI,GENERAL,VALLEY,1,14013,CONG
YAISKUL,GENERAL,VALLEY,1,14014,CONG
WANGKHEI,GENERAL,VALLEY,1,14015,CONG
SEKMAI,SC,VALLEY,1,14016,CONG
LAMSANG,GENERAL,VALLEY,1,14017,CONG
KONTHOUJAM,GENERAL,VALLEY,1,14018,AITC
PATSOI,GENERAL,VALLEY,1,14019,CONG
LANGTHABAL,GENERAL,VALLEY,1,14020,LJSP
NAORIYA PAKHANGLAKPA,GENERAL,VALLEY,1,14021,CONG
WANGOI,GENERAL,VALLEY,1,14022,AITC
MAYANG IMPHAL,GENERAL,VALLEY,1,14023,CONG
NAMBOL,GENERAL,VALLEY,1,14024,CONG
OINAM,GENERAL,VALLEY,1,14025,AITC
BISHNUPUR,GENERAL,VALLEY,1,14026,CONG
MOIRANG,GENERAL,VALLEY,1,14027,CONG
THANGA,GENERAL,VALLEY,1,14028,CONG
KUMBI,GENERAL,VALLEY,1,14029,CONG
LILONG,GENERAL,VALLEY,2,14030,CONG
THOUBAL,GENERAL,VALLEY,2,14031,CONG
WANGKHEM,GENERAL,VALLEY,2,14032,CONG
HEIROK,GENERAL,VALLEY,2,14033,CONG
WANGJING TENTHA,GENERAL,VALLEY,2,14034,MSCP
KHANGABOK,GENERAL,VALLEY,2,14035,CONG
WABGAI,GENERAL,VALLEY,2,14036,CONG
KAKCHING,GENERAL,VALLEY,2,14037,CONG
HIYANGLAM,GENERAL,VALLEY,2,14038,AITC
SUGNU,GENERAL,VALLEY,2,14039,CONG
JIRIBAM,GENERAL,VALLEY,2,14040,CONG
CHANDEL,ST,HILLS,2,14041,NPF
TENGNOUPAL,ST,HILLS,2,14042,CONG
PHUNGYAR,ST,HILLS,2,14043,CONG
UKHRUL,ST,HILLS,2,14044,NPF
CHINGAI,ST,HILLS,2,14045,CONG
SAIKUL,ST,HILLS,1,14046,CONG
KARONG,ST,HILLS,2,14047,NPF
MAO,ST,HILLS,2,14048,NPF
TADUBI,ST,HILLS,2,14049,CONG
KANGPOKPI,GENERAL,HILLS,1,14050,MSCP
SAITU,ST,HILLS,1,14051,CONG
TAMEI,ST,HILLS,2,14052,CONG
TAMENGLONG,ST,HILLS,2,14053,MSCP
NUNGBA,ST,HILLS,2,14054,CONG
TIPAIMUKH,ST,HILLS,1,14055,CONG
THANLON,ST,HILLS,1,14056,CONG
HENGLEP,ST,HILLS,1,14057,CONG
CHURACHANDPUR,ST,HILLS,1,14058,CONG
SAIKOT,ST,HILLS,1,14059,CONG
SINGHAT,ST,HILLS,1,14060,CONG
